metabolite,pval,padj,py.value,comparison,FC,log2FC
(-)-Camphanic acid,0.29,0.374648649,0.42637583,PBS vs PBS + Cortisone acetate,1.374907683,0.459334753
"(8aR,12S,12aR)-12-Hydroxy-4-methyl-4,5,6,7,8,8a,12,12a-octahydro-2H-3-benzoxecine-2,9(1H)-dione",0.102,0.153320755,0.814399052,PBS vs PBS + Cortisone acetate,0.832499638,-0.264478451
(R)-Equol,0.0157,0.029780159,1.526072992,PBS vs PBS + Cortisone acetate,1.937042558,0.953855651
"1,4a-Dimethyl-6-methylene-5-[2-(2-oxo-2,5-dihydro-3-furanyl)ethyl]decahydro-1-naphthalenecarboxylic acid",2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,0.214205014,-2.222935844
1-Methyl Adenosine,0.000421,0.001359716,2.866551723,PBS vs PBS + Cortisone acetate,0.576678198,-0.794161614
1-Phenyl-3-methyl-5-pyrazolone,0.0137,0.026620325,1.574786643,PBS vs PBS + Cortisone acetate,0.652411585,-0.616145695
10-HDA,2.35E-05,0.0001195,3.922632095,PBS vs PBS + Cortisone acetate,3.285383078,1.7160616
11-α-Hydroxy-17-methyltestosterone,0.4,0.495336788,0.305099417,PBS vs PBS + Cortisone acetate,1.202238557,0.265723195
"17-(1-Hydroxyethyl)-10,13-dimethyl-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-one",0.621,0.687125,0.16296425,PBS vs PBS + Cortisone acetate,0.649470796,-0.622663439
1H-indene-3-carboxamide,0.00589,0.013034352,1.88491056,PBS vs PBS + Cortisone acetate,0.56794296,-0.816182051
"2,3,4-Trihydroxybenzoic acid",0.477,0.558838235,0.252713887,PBS vs PBS + Cortisone acetate,1.170030217,0.226545789
2-(acetylamino)-3-(1H-indol-3-yl)propanoic acid,1,1,0,PBS vs PBS + Cortisone acetate,0.955156154,-0.066191483
2-Aminoadipic acid,5.03E-06,3.54E-05,4.451513031,PBS vs PBS + Cortisone acetate,0.417206731,-1.261165662
2-Hydroxyisocaproic acid,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,3.690919205,1.883980157
2-Hydroxyoctanoic acid,0.000177,0.00070505,3.151780083,PBS vs PBS + Cortisone acetate,2.28898766,1.194709685
2-Hydroxyphenylalanine,0.063,0.102428571,0.989578884,PBS vs PBS + Cortisone acetate,0.729738654,-0.45454822
2-Hydroxyvaleric acid,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,4.281957534,2.098270488
2-Oxoglutaric acid,0.354,0.442963351,0.353632204,PBS vs PBS + Cortisone acetate,0.688969664,-0.537487635
2-[(1S)-1-Hydroxyethyl]-4(1H)-quinazolinone,0.00226,0.00545596,2.263128855,PBS vs PBS + Cortisone acetate,0.400620762,-1.319690906
2/3-Hydroxybutyric acid,0.000925,0.002631845,2.579739652,PBS vs PBS + Cortisone acetate,2.226430674,1.15473269
20 β-Dihydroprednisolone,4.64E-06,3.54E-05,4.451513031,PBS vs PBS + Cortisone acetate,82.90639319,6.373411452
"3,4-Dihydroxybenzenesulfonic acid",0.0079,0.016137607,1.79216087,PBS vs PBS + Cortisone acetate,0.436210663,-1.196903059
"3,4-Dimethoxyphenylacetic acid",5.03E-06,3.54E-05,4.451513031,PBS vs PBS + Cortisone acetate,3.346672804,1.742727509
"3,5-Dimethoxybenzoic acid",2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,11.63069721,3.539865678
"3-(1-hydroxyethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",0.134,0.191772455,0.717213772,PBS vs PBS + Cortisone acetate,0.712334593,-0.489373042
3-(2-Hydroxyethyl)indole,0.000516,0.00164432,2.784013661,PBS vs PBS + Cortisone acetate,0.349461734,-1.516793605
"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione_1",0.0697,0.110319868,0.957346268,PBS vs PBS + Cortisone acetate,0.707363156,-0.499477018
"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione_2",0.0105,0.021088235,1.675959761,PBS vs PBS + Cortisone acetate,2.399175301,1.262538575
3-Aminosalicylic acid,1.31E-05,7.45E-05,4.127580094,PBS vs PBS + Cortisone acetate,0.196141086,-2.35003632
3-Hydroxy-2-methyl-4-pyrone,0.00111,0.002980787,2.525669127,PBS vs PBS + Cortisone acetate,2.09847463,1.069341022
3-Indoxylsulfuric acid,0.000276,0.000999455,3.000236953,PBS vs PBS + Cortisone acetate,0.404206488,-1.306835615
3-Methyl-2-oxovaleric acid,0.00191,0.004658061,2.331794807,PBS vs PBS + Cortisone acetate,1.389566938,0.474635333
3-Methylhistidine,3.09E-07,4.34E-06,5.362092541,PBS vs PBS + Cortisone acetate,1.657302947,0.728837345
3-Phenyllactic acid,9.62E-06,6.21E-05,4.206628751,PBS vs PBS + Cortisone acetate,2.484519405,1.31296681
3-Ureidopropionic acid,0.0079,0.016137607,1.79216087,PBS vs PBS + Cortisone acetate,1.569113224,0.649949458
3-tert-Butyladipic acid,0.012,0.023702479,1.625206223,PBS vs PBS + Cortisone acetate,1.360214781,0.443834474
"4,8-Dihydroxyquinoline-2-carboxylic acid",0.000111,0.000465421,3.332153976,PBS vs PBS + Cortisone acetate,0.57606798,-0.795689025
4-Acetamidophenol,0.00134,0.003443656,2.462980249,PBS vs PBS + Cortisone acetate,0.588242934,-0.76551601
4-Amino-3-hydroxybenzoic acid,0.591,0.663140845,0.178394222,PBS vs PBS + Cortisone acetate,1.262724622,0.336540047
4-Coumaric acid,0.879,0.914434783,0.038847263,PBS vs PBS + Cortisone acetate,0.907332951,-0.140296042
4-Guanidinobutyric acid,0.505,0.580264423,0.236374056,PBS vs PBS + Cortisone acetate,0.618580798,-0.692966046
4-Hydroxy xylazine,0.186,0.255482759,0.592638403,PBS vs PBS + Cortisone acetate,1.411967802,0.49770719
4-Hydroxybenzaldehyde,0.0105,0.021088235,1.675959761,PBS vs PBS + Cortisone acetate,1.689786463,0.756840946
4-Hydroxyhippuric acid,0.000629,0.001952351,2.709442179,PBS vs PBS + Cortisone acetate,0.580571491,-0.784454366
4-Hydroxyproline,7.74E-07,8.81E-06,5.055080433,PBS vs PBS + Cortisone acetate,0.633231335,-0.659195448
4-Phenolsulfonic acid,0.451,0.541653266,0.266278634,PBS vs PBS + Cortisone acetate,1.091193097,0.125906423
"4-cyclopropyl-6-methoxy-1,3,5-triazin-2-amine",0.0568,0.093622069,1.028621766,PBS vs PBS + Cortisone acetate,1.895075391,0.922255244
"5,6-dimethyl-4-oxo-4H-pyran-2-carboxylic acid",2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,23.19006931,4.535435227
5-Hydroxyindole,0.000221,0.000851919,3.069601515,PBS vs PBS + Cortisone acetate,0.425668759,-1.232196883
5-Hydroxytryptophan,0.217,0.288127778,0.54041487,PBS vs PBS + Cortisone acetate,1.139273045,0.188113554
5-Methoxysalicylic acid,0.000141,0.000581017,3.23581098,PBS vs PBS + Cortisone acetate,4.392018005,2.134883969
5-Methoxytryptophan,0.847,0.895721239,0.047827128,PBS vs PBS + Cortisone acetate,1.402120047,0.487609876
5-Methylcytosine,0.00111,0.002980787,2.525669127,PBS vs PBS + Cortisone acetate,2.596586753,1.376616427
5-Methyluridine,0.621,0.687125,0.16296425,PBS vs PBS + Cortisone acetate,0.987031413,-0.018832094
"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one",0.652,0.714807339,0.145810997,PBS vs PBS + Cortisone acetate,1.033736405,0.047868357
7-Oxobenz[de]anthracene,0.00111,0.002980787,2.525669127,PBS vs PBS + Cortisone acetate,0.490564226,-1.027486064
Acetanilide,0.201,0.268374302,0.571259073,PBS vs PBS + Cortisone acetate,0.851756349,-0.231487299
Acetohydroxamic acid,0.00683,0.014574732,1.836399418,PBS vs PBS + Cortisone acetate,0.716968379,-0.480018603
Acetyl-β-methylcholine_1,0.201,0.268374302,0.571259073,PBS vs PBS + Cortisone acetate,0.879224238,-0.185696937
Acetyl-β-methylcholine_2,0.000341,0.001198515,2.921356633,PBS vs PBS + Cortisone acetate,0.416958631,-1.262023842
AcetylCarnitine,0.0511,0.084811806,1.071543691,PBS vs PBS + Cortisone acetate,1.194221585,0.25607055
Acetylcholine,3.09E-07,4.34E-06,5.362092541,PBS vs PBS + Cortisone acetate,0.622916965,-0.68288823
Acrylic acid_1,0.0037,0.008585437,2.0662376,PBS vs PBS + Cortisone acetate,0.803333139,-0.315929703
Alanine,0.0202,0.037136923,1.430194082,PBS vs PBS + Cortisone acetate,1.169738347,0.226185857
Anserine,0.533,0.606604762,0.217094185,PBS vs PBS + Cortisone acetate,0.963299433,-0.053943779
Arginine,0.172,0.239,0.621602099,PBS vs PBS + Cortisone acetate,0.364678294,-1.455303761
Ascorbic acid,6.82E-05,0.000301848,3.520211484,PBS vs PBS + Cortisone acetate,1.478033656,0.563679121
Asparagine,0.00683,0.014574732,1.836399418,PBS vs PBS + Cortisone acetate,1.268195096,0.342776703
Aspartic acid,0.134,0.191772455,0.717213772,PBS vs PBS + Cortisone acetate,0.564695287,-0.824455504
Betaine,0.112,0.165234568,0.781899091,PBS vs PBS + Cortisone acetate,0.770571928,-0.375998466
Biotin,0.747,0.807841629,0.092673771,PBS vs PBS + Cortisone acetate,1.03360426,0.047683921
Butyrylcarnitine,4.90E-07,5.86E-06,5.232436015,PBS vs PBS + Cortisone acetate,1.794809062,0.843830374
Carnitine,0.0202,0.037136923,1.430194082,PBS vs PBS + Cortisone acetate,1.182008837,0.241240822
Catechol,0.0079,0.016137607,1.79216087,PBS vs PBS + Cortisone acetate,0.415949037,-1.265521319
Cholic acid,0.000276,0.000999455,3.000236953,PBS vs PBS + Cortisone acetate,54.57703499,5.770222114
Choline,0.0157,0.029780159,1.526072992,PBS vs PBS + Cortisone acetate,0.919125831,-0.12166571
Citric acid,0.747,0.807841629,0.092673771,PBS vs PBS + Cortisone acetate,0.935409169,-0.096330524
Citrulline,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,0.588234812,-0.765535929
Clomazone,0.561,0.635445498,0.196921693,PBS vs PBS + Cortisone acetate,1.113949217,0.155683464
Cortisone,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,75.63441288,6.24097089
Coumarin,0.252,0.330923077,0.480272946,PBS vs PBS + Cortisone acetate,0.862120375,-0.214038773
Creatine,0.652,0.714807339,0.145810997,PBS vs PBS + Cortisone acetate,0.96438453,-0.052319587
Crotonic acid_1,0.0079,0.016137607,1.79216087,PBS vs PBS + Cortisone acetate,0.826064844,-0.275673061
Crotonic acid_2,0.000421,0.001359716,2.866551723,PBS vs PBS + Cortisone acetate,1.805297766,0.852236815
Cystine,0.00134,0.003443656,2.462980249,PBS vs PBS + Cortisone acetate,1.419958605,0.505848873
Cytidine,0.533,0.606604762,0.217094185,PBS vs PBS + Cortisone acetate,1.024521312,0.034949996
Cytosine,5.03E-06,3.54E-05,4.451513031,PBS vs PBS + Cortisone acetate,3.612809264,1.853121091
DL-4-Hydroxyphenyllactic acid,0.477,0.558838235,0.252713887,PBS vs PBS + Cortisone acetate,1.072303984,0.100713948
DL-Stachydrine_1,3.56E-05,0.000166831,3.777722277,PBS vs PBS + Cortisone acetate,0.18011653,-2.472997509
DL-Stachydrine_2,0.063,0.102428571,0.989578884,PBS vs PBS + Cortisone acetate,0.718258984,-0.477423961
Daidzein,0.505,0.580264423,0.236374056,PBS vs PBS + Cortisone acetate,1.20893724,0.273739351
Decanoylcarnitine,5.16E-08,1.03E-06,5.988133643,PBS vs PBS + Cortisone acetate,5.045578397,2.335019661
Dehydronorketamine_1,8.73E-05,0.000372584,3.428775882,PBS vs PBS + Cortisone acetate,2.560311859,1.356319549
Dehydronorketamine_2,9.19E-06,6.21E-05,4.206628751,PBS vs PBS + Cortisone acetate,3.086430398,1.625939258
Dehydronorketamine_3,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,7.17674669,2.84333
Diaminopimelic acid,0.505,0.580264423,0.236374056,PBS vs PBS + Cortisone acetate,1.118662208,0.161774464
Dihydroxybenzoic,2.50E-06,2.06E-05,4.686060088,PBS vs PBS + Cortisone acetate,3.674522133,1.877556642
Ecgonine methyl ester,0.102,0.153320755,0.814399052,PBS vs PBS + Cortisone acetate,0.860377985,-0.216957485
Ecgonine_1,0.477,0.558838235,0.252713887,PBS vs PBS + Cortisone acetate,0.973305547,-0.039035318
Ecgonine_2,1.31E-05,7.45E-05,4.127580094,PBS vs PBS + Cortisone acetate,0.318419889,-1.650997645
Ethylmalonic acid,0.949,0.961063559,0.01724789,PBS vs PBS + Cortisone acetate,1.109943013,0.150485608
Ferulic acid,0.813,0.871331839,0.059816417,PBS vs PBS + Cortisone acetate,1.026475674,0.037699438
Fumaric acid,0.0697,0.110319868,0.957346268,PBS vs PBS + Cortisone acetate,0.858734392,-0.219716122
Genistein,0.477,0.558838235,0.252713887,PBS vs PBS + Cortisone acetate,1.114632638,0.156568304
Gluconic acid,0.0459,0.077802128,1.109008526,PBS vs PBS + Cortisone acetate,1.17318101,0.230425624
Glucosamine/Galactosamine,0.172,0.239,0.621602099,PBS vs PBS + Cortisone acetate,0.889940201,-0.168219696
Glucuronic acid,0.000221,0.000851919,3.069601515,PBS vs PBS + Cortisone acetate,2.538843421,1.344171422
"Glucuronic acid-3,6-lactone",5.16E-08,1.03E-06,5.988133643,PBS vs PBS + Cortisone acetate,2.675353322,1.419729434
Glutamic acid,0.0697,0.110319868,0.957346268,PBS vs PBS + Cortisone acetate,0.771847243,-0.373612744
Glutamine,1.16E-06,1.21E-05,4.918871946,PBS vs PBS + Cortisone acetate,1.372294039,0.456589639
Glutathione oxidized,1.76E-05,9.35E-05,4.029301945,PBS vs PBS + Cortisone acetate,0.118621422,-3.075563521
Glyceric acid,0.00111,0.002980787,2.525669127,PBS vs PBS + Cortisone acetate,1.292679763,0.370364919
Glycine,1.81E-07,3.33E-06,5.477866876,PBS vs PBS + Cortisone acetate,1.556097217,0.637932195
Glycine anhydride,0.00111,0.002980787,2.525669127,PBS vs PBS + Cortisone acetate,1.762004174,0.817217342
Glycocholic acid,0.134,0.191772455,0.717213772,PBS vs PBS + Cortisone acetate,9.38102298,3.229745254
Glycolic acid,3.58E-06,2.85E-05,4.544840327,PBS vs PBS + Cortisone acetate,0.616918073,-0.696849182
Glycyl-valine,0.0769,0.119344805,0.92319648,PBS vs PBS + Cortisone acetate,1.404466134,0.490021837
Glyoxylic acid,0.0367,0.063560145,1.196815121,PBS vs PBS + Cortisone acetate,0.662775791,-0.593407189
Guanidoacetic acid,1.31E-05,7.45E-05,4.127580094,PBS vs PBS + Cortisone acetate,0.446286274,-1.16395866
Hexanoyl Glycine,0.0229,0.041151128,1.385618258,PBS vs PBS + Cortisone acetate,0.408676655,-1.29096826
Hexanoylcarnitine,0.000925,0.002631845,2.579739652,PBS vs PBS + Cortisone acetate,1.659440148,0.730696596
Hexose,0.00683,0.014574732,1.836399418,PBS vs PBS + Cortisone acetate,0.81484363,-0.295404866
Hexose dimer,0.112,0.165234568,0.781899091,PBS vs PBS + Cortisone acetate,0.615991482,-0.699017694
Hippuric acid,1.76E-05,9.35E-05,4.029301945,PBS vs PBS + Cortisone acetate,0.329915411,-1.599831923
Histidine,0.331,0.418566138,0.378235909,PBS vs PBS + Cortisone acetate,0.950397882,-0.073396473
Homoarginine,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,0.532696398,-0.908614568
Homocitrulline,2.35E-05,0.0001195,3.922632095,PBS vs PBS + Cortisone acetate,1.565391611,0.646523619
Hyocholic acid,4.80E-05,0.000220615,3.656364205,PBS vs PBS + Cortisone acetate,56.87286262,5.829668517
Hypotaurine,0.0259,0.045852593,1.338636103,PBS vs PBS + Cortisone acetate,0.621554117,-0.686048086
Indole-3-acetic acid,0.505,0.580264423,0.236374056,PBS vs PBS + Cortisone acetate,1.047495944,0.066944658
Indole-3-acrylic acid,0.00434,0.009785472,2.009418235,PBS vs PBS + Cortisone acetate,1.69997235,0.765511281
Indole-3-carboxyaldehyde,0.377,0.469286458,0.328561978,PBS vs PBS + Cortisone acetate,0.887800225,-0.171693021
Indole-3-lactic acid,2.50E-06,2.06E-05,4.686060088,PBS vs PBS + Cortisone acetate,2.231235658,1.157842896
Indole-3-propionic acid,0.0848,0.129917949,0.886330845,PBS vs PBS + Cortisone acetate,0.760675748,-0.394646486
Inosine,2.50E-06,2.06E-05,4.686060088,PBS vs PBS + Cortisone acetate,0.267579507,-1.901960468
Isobutyric acid_1,0.88,0.914434783,0.038847263,PBS vs PBS + Cortisone acetate,1.121266476,0.165129185
Isobutyric acid_2,0.0016,0.003983333,2.399753349,PBS vs PBS + Cortisone acetate,0.653084235,-0.614659011
Isocitric acid,0.78,0.83972973,0.075860471,PBS vs PBS + Cortisone acetate,1.028263818,0.040210459
Isoleucine,0.000629,0.001952351,2.709442179,PBS vs PBS + Cortisone acetate,0.819176652,-0.287753499
Isovalerylcarnitine,3.09E-07,4.34E-06,5.362092541,PBS vs PBS + Cortisone acetate,2.749566345,1.459204098
Ketamine,0.00506,0.011302243,1.94683536,PBS vs PBS + Cortisone acetate,0.855186314,-0.22568933
Kynurenic acid,0.0769,0.119344805,0.92319648,PBS vs PBS + Cortisone acetate,0.665058641,-0.588446541
Kynurenine,0.0178,0.033497638,1.474985818,PBS vs PBS + Cortisone acetate,0.755876472,-0.403777611
L-Ascorbic acid 2-sulfate,0.983,0.991295359,0.003796927,PBS vs PBS + Cortisone acetate,1.060113524,0.084218767
Lactic acid,0.0697,0.110319868,0.957346268,PBS vs PBS + Cortisone acetate,1.125115438,0.170073031
Leucine,0.0459,0.077802128,1.109008526,PBS vs PBS + Cortisone acetate,0.88190899,-0.181298312
Lysine,0.00268,0.0064052,2.193467305,PBS vs PBS + Cortisone acetate,0.801627432,-0.318996216
Malic acid,0.0328,0.057641176,1.239267164,PBS vs PBS + Cortisone acetate,0.646972242,-0.62822428
Methanesulfonic acid,3.10E-05,0.00014818,3.82921041,PBS vs PBS + Cortisone acetate,0.516295182,-0.95373196
Methionine,0.914,0.933529915,0.029871761,PBS vs PBS + Cortisone acetate,0.974092149,-0.037869837
Methionine sulfoxide,0.621,0.687125,0.16296425,PBS vs PBS + Cortisone acetate,1.055091275,0.07736781
Methyl salicylate_1,0.0769,0.119344805,0.92319648,PBS vs PBS + Cortisone acetate,0.898108067,-0.155039044
Methyl salicylate_2,0.172,0.239,0.621602099,PBS vs PBS + Cortisone acetate,1.327990798,0.40924515
Mucic acid,0.914,0.933529915,0.029871761,PBS vs PBS + Cortisone acetate,0.95152314,-0.071689353
N-Acetyl-5-hydroxytryptamine,0.88,0.914434783,0.038847263,PBS vs PBS + Cortisone acetate,0.935010096,-0.096946152
N-Acetyl-alanine,0.331,0.418566138,0.378235909,PBS vs PBS + Cortisone acetate,1.110949394,0.151793101
N-Acetyl-arginine,3.10E-05,0.00014818,3.82921041,PBS vs PBS + Cortisone acetate,0.337722835,-1.566088365
N-Acetyl-cysteine,0.0232,0.041379104,1.383218913,PBS vs PBS + Cortisone acetate,3.247899801,1.699507126
N-Acetyl-glucosamine,0.123,0.17925,0.746540836,PBS vs PBS + Cortisone acetate,1.190649004,0.251748178
N-Acetyl-glutamic acid,0.172,0.239,0.621602099,PBS vs PBS + Cortisone acetate,0.865769628,-0.207944904
N-Acetyl-glutamine,0.0848,0.129917949,0.886330845,PBS vs PBS + Cortisone acetate,0.739601262,-0.435180409
N-Acetyl-lysine,0.000925,0.002631845,2.579739652,PBS vs PBS + Cortisone acetate,0.656292711,-0.607588684
N-Acetyl-ornithine,0.0411,0.070668345,1.150775077,PBS vs PBS + Cortisone acetate,1.19402816,0.255836861
N-Acetyl-phenylalanine,0.172,0.239,0.621602099,PBS vs PBS + Cortisone acetate,0.755449912,-0.404591991
N-Acetyl-tyrosine,0.000765,0.002285438,2.641030651,PBS vs PBS + Cortisone acetate,0.479120297,-1.061540163
N-Acetylneuraminic acid,0.000276,0.000999455,3.000236953,PBS vs PBS + Cortisone acetate,0.629121391,-0.668589679
N-Formylmethionine,0.29,0.374648649,0.42637583,PBS vs PBS + Cortisone acetate,0.914983284,-0.128182708
N-Iso valerylglycine,0.0016,0.003983333,2.399753349,PBS vs PBS + Cortisone acetate,0.647381244,-0.627312527
N-Isobutyrylglycine,0.00134,0.003443656,2.462980249,PBS vs PBS + Cortisone acetate,0.604877414,-0.725285302
N-acetyl-methionine,0.451,0.541653266,0.266278634,PBS vs PBS + Cortisone acetate,0.739925874,-0.434547347
"N3,N4-Dimethyl-L-arginine",0.000421,0.001359716,2.866551723,PBS vs PBS + Cortisone acetate,0.631546605,-0.663038892
"N6,N6,N6-Trimethyl-L-lysine",9.62E-06,6.21E-05,4.206628751,PBS vs PBS + Cortisone acetate,0.616257068,-0.698395806
N8-Acetylspermidine,0.88,0.914434783,0.038847263,PBS vs PBS + Cortisone acetate,1.19347629,0.255169906
Nicotinamide 1-oxide,1.76E-05,9.35E-05,4.029301945,PBS vs PBS + Cortisone acetate,0.405459298,-1.302370998
Nicotine amide,0.00434,0.009785472,2.009418235,PBS vs PBS + Cortisone acetate,0.706297476,-0.501652154
Nitrosoheptamethyleneimine,1.31E-05,7.45E-05,4.127580094,PBS vs PBS + Cortisone acetate,0.266041408,-1.910277282
Norketamine_1,2.50E-06,2.06E-05,4.686060088,PBS vs PBS + Cortisone acetate,3.081239595,1.62351087
Norketamine_2,2.50E-06,2.06E-05,4.686060088,PBS vs PBS + Cortisone acetate,2.498483081,1.321052449
O-Acetylserine,0.914,0.933529915,0.029871761,PBS vs PBS + Cortisone acetate,1.020221568,0.028882506
Octanoylcarnitine,2.58E-08,6.17E-07,6.209982393,PBS vs PBS + Cortisone acetate,4.293467967,2.102143428
Ornithine,1,1,0,PBS vs PBS + Cortisone acetate,1.034784442,0.049330268
Pantothenic acid,0.477,0.558838235,0.252713887,PBS vs PBS + Cortisone acetate,0.951252519,-0.072099726
Pentose,0.0202,0.037136923,1.430194082,PBS vs PBS + Cortisone acetate,0.842822024,-0.246700081
Phenol_1,0.000341,0.001198515,2.921356633,PBS vs PBS + Cortisone acetate,0.57841796,-0.789815746
Phenol_2,0.683,0.745374429,0.12762551,PBS vs PBS + Cortisone acetate,1.095693606,0.131844427
Phenylalanine,0.201,0.268374302,0.571259073,PBS vs PBS + Cortisone acetate,1.083418299,0.115590363
Phosphoenolpyruvic acid,0.0016,0.003983333,2.399753349,PBS vs PBS + Cortisone acetate,0.64854362,-0.624724485
Pipecolinic acid,0.0511,0.084811806,1.071543691,PBS vs PBS + Cortisone acetate,0.828828692,-0.270854148
Prolinamide,0.847,0.895721239,0.047827128,PBS vs PBS + Cortisone acetate,0.996401503,-0.005200897
Proline,0.847,0.895721239,0.047827128,PBS vs PBS + Cortisone acetate,0.986360108,-0.019813641
Prolylglycine,6.82E-05,0.000301848,3.520211484,PBS vs PBS + Cortisone acetate,1.50859756,0.593207998
Prolylleucine_1,0.425,0.523582474,0.281014899,PBS vs PBS + Cortisone acetate,0.942806807,-0.08496592
Prolylleucine_2,0.914,0.933529915,0.029871761,PBS vs PBS + Cortisone acetate,0.969628962,-0.044495304
Propionylcarnitine,0.0511,0.084811806,1.071543691,PBS vs PBS + Cortisone acetate,1.172956918,0.230150025
Pyrene,1.16E-06,1.21E-05,4.918871946,PBS vs PBS + Cortisone acetate,2.199329629,1.137063847
Pyridoxal,1.31E-05,7.45E-05,4.127580094,PBS vs PBS + Cortisone acetate,0.553585718,-0.853121373
Pyridoxine,0.591,0.663140845,0.178394222,PBS vs PBS + Cortisone acetate,1.12823098,0.174062458
Pyroglutamic acid,0.451,0.541653266,0.266278634,PBS vs PBS + Cortisone acetate,1.099056726,0.136265851
Pyruvic acid,2.50E-06,2.06E-05,4.686060088,PBS vs PBS + Cortisone acetate,1.66997661,0.739827896
Rexamino,0.0219,0.039954962,1.39842928,PBS vs PBS + Cortisone acetate,1.634251718,0.708630214
Riboflavin,0.0932,0.141877707,0.848085839,PBS vs PBS + Cortisone acetate,1.460910949,0.54686824
SAICA-riboside,0.0229,0.041151128,1.385618258,PBS vs PBS + Cortisone acetate,0.753357316,-0.4085938
Salicylic acid,4.90E-07,5.86E-06,5.232436015,PBS vs PBS + Cortisone acetate,2.95317162,1.562265199
Serine,0.31,0.396203209,0.402082012,PBS vs PBS + Cortisone acetate,1.039892518,0.056434421
Serotonin,0.0037,0.008585437,2.0662376,PBS vs PBS + Cortisone acetate,0.510530039,-0.969932245
Spermine,0.000925,0.002631845,2.579739652,PBS vs PBS + Cortisone acetate,0.658395058,-0.602974588
Succinic acid,0.0367,0.063560145,1.196815121,PBS vs PBS + Cortisone acetate,0.524434614,-0.931165185
Sugar alcochol (C5),0.354,0.442963351,0.353632204,PBS vs PBS + Cortisone acetate,0.881937207,-0.181252154
Sugar alcochol (C6),0.00434,0.009785472,2.009418235,PBS vs PBS + Cortisone acetate,0.818444524,-0.289043464
Taurine,0.29,0.374648649,0.42637583,PBS vs PBS + Cortisone acetate,0.865241361,-0.208825464
Tauro-a/b-Muricholic acid,0.451,0.541653266,0.266278634,PBS vs PBS + Cortisone acetate,1.418906167,0.504779187
Taurochenodeoxycholic acid,0.948,0.961063559,0.01724789,PBS vs PBS + Cortisone acetate,0.388268411,-1.36487376
Thiamine,3.10E-05,0.00014818,3.82921041,PBS vs PBS + Cortisone acetate,0.230510885,-2.117093215
Threonic acid,0.000421,0.001359716,2.866551723,PBS vs PBS + Cortisone acetate,0.57387399,-0.801194107
Threonine,4.90E-07,5.86E-06,5.232436015,PBS vs PBS + Cortisone acetate,1.573661632,0.654125367
Thymidine,0.186,0.255482759,0.592638403,PBS vs PBS + Cortisone acetate,1.220545104,0.287525609
Tiglic acid,0.201,0.268374302,0.571259073,PBS vs PBS + Cortisone acetate,0.862330651,-0.213686935
Traumatic acid,0.000421,0.001359716,2.866551723,PBS vs PBS + Cortisone acetate,1.623695042,0.699280695
Trigonelline,0.000765,0.002285438,2.641030651,PBS vs PBS + Cortisone acetate,0.464142065,-1.107361642
Triisopropanolamine,0.451,0.541653266,0.266278634,PBS vs PBS + Cortisone acetate,1.200607636,0.263764749
Trimethylamine N-Oxide,0.00191,0.004658061,2.331794807,PBS vs PBS + Cortisone acetate,0.488554962,-1.033407221
Tryptamine,0.000765,0.002285438,2.641030651,PBS vs PBS + Cortisone acetate,1.333195916,0.414888804
Tryptophan,0.000421,0.001359716,2.866551723,PBS vs PBS + Cortisone acetate,1.339124531,0.421290129
Tyrosine,0.252,0.330923077,0.480272946,PBS vs PBS + Cortisone acetate,0.881831856,-0.181424501
Uracil,0.0079,0.016137607,1.79216087,PBS vs PBS + Cortisone acetate,0.46326742,-1.11008287
Uric acid,0.0157,0.029780159,1.526072992,PBS vs PBS + Cortisone acetate,0.734613473,-0.444942739
Uridine,0.112,0.165234568,0.781899091,PBS vs PBS + Cortisone acetate,0.741388413,-0.431698527
Valine,0.31,0.396203209,0.402082012,PBS vs PBS + Cortisone acetate,0.895956543,-0.158499336
Xanthosine,0.000177,0.00070505,3.151780083,PBS vs PBS + Cortisone acetate,0.452974764,-1.142497417
Xylazine,0.123,0.17925,0.746540836,PBS vs PBS + Cortisone acetate,0.788735921,-0.342385746
"[(1S,4S,6S)-6-Isopropyl-3-methyl-4-{2-oxo-2-[4-(2-pyrimidinyl)-1-piperazinyl]ethyl}-2-cyclohexen-1-yl]acetonitrile",8.73E-05,0.000372584,3.428775882,PBS vs PBS + Cortisone acetate,4.094568956,2.033711584
