seqID,barcode,libType,extID,libID,sampleID,extractionMethod,concExt,concAmp,concLib,tissueConc,sampleVol,sampleTreatment,notes,sampleName,sampleType,sampleGroup,sampleGroup2,rawReads,filtReads,OTUs,ratioPhylum,ratioClass,ratioOrder,ratioFamily,ratioGenus,ratioSpecies
18100FL-24-06-34,131,abV4-C,EXT-CP941b-35-B,LIB-CP941b-35-B-1,SA-CP941b-35,molzym ultra deep microbiome,0.707860198,0.057682601,0.137699665,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,36,lung tissue,3,3,38116,27823,127,127,127,127,123,112,6
18100FL-24-06-33,130,abV4-C,EXT-CP941b-34-B,LIB-CP941b-34-B-1,SA-CP941b-34,molzym ultra deep microbiome,0.373592882,0.058884322,0.167743228,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,35,lung tissue,3,3,44385,36574,177,177,177,177,174,167,6
18100FL-24-06-32,129,abV4-C,EXT-CP941b-33-B,LIB-CP941b-33-B-1,SA-CP941b-33,molzym ultra deep microbiome,0.621835521,0.05527916,0.259125732,66.67,0.71,PBS_Cortisone acetate_Voriconazol,less volume,34,lung tissue,3,3,48259,37457,197,197,197,197,194,180,5
18100FL-24-06-31,128,abV4-C,EXT-CP941b-32-B,LIB-CP941b-32-B-1,SA-CP941b-32,molzym ultra deep microbiome,0.636582608,0.05527916,0.163987782,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,33,lung tissue,3,3,39212,30309,153,153,153,153,147,136,6
18100FL-24-06-30,127,abV4-C,EXT-CP941b-31-B,LIB-CP941b-31-B-1,SA-CP941b-31,molzym ultra deep microbiome,1.367792361,0.052875718,0.087627059,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,32,lung tissue,3,3,18617,13737,162,162,162,162,154,148,6
18100FL-24-06-29,126,abV4-C,EXT-CP941b-30-B,LIB-CP941b-30-B-1,SA-CP941b-30,molzym ultra deep microbiome,0.102000688,0.058884322,0.126433328,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,31,lung tissue,3,3,36251,29089,140,140,140,140,140,128,3
18100FL-24-06-28,125,abV4-C,EXT-CP941b-29-B,LIB-CP941b-29-B-1,SA-CP941b-29,molzym ultra deep microbiome,0.668534631,0.068498089,0.130188774,66.67,0.75,PBS_Cortisone acetate,,30,lung tissue,2,2,43628,35921,73,73,73,73,71,60,3
18100FL-24-06-27,124,abV4-C,EXT-CP941b-28-B,LIB-CP941b-28-B-1,SA-CP941b-28,molzym ultra deep microbiome,0.380966426,0.070901531,0.091382505,66.67,0.75,PBS_Cortisone acetate,,29,lung tissue,2,2,24593,20223,103,103,103,103,97,90,3
18100FL-24-06-26,123,abV4-C,EXT-CP941b-27-B,LIB-CP941b-27-B-1,SA-CP941b-27,molzym ultra deep microbiome,0.423978764,0.074506694,0.107656101,66.67,0.71,PBS_Cortisone acetate,less volume,28,lung tissue,2,2,16907,11346,112,112,112,112,107,99,6
18100FL-24-06-25,122,abV4-C,EXT-CP941b-26-B,LIB-CP941b-26-B-1,SA-CP941b-26,molzym ultra deep microbiome,0.409231677,0.072103252,0.266636623,66.67,0.75,PBS_Cortisone acetate,,27,lung tissue,2,2,53054,43988,156,156,156,156,153,141,5
18100FL-24-06-24,121,abV4-C,EXT-CP941b-25-B,LIB-CP941b-25-B-1,SA-CP941b-25,molzym ultra deep microbiome,0.219977388,0.074506694,0.28291022,66.67,0.75,PBS_Cortisone acetate,,26,lung tissue,2,2,55862,36876,131,131,131,131,131,124,9
18100FL-24-06-23,120,abV4-C,EXT-CP941b-24-B,LIB-CP941b-24-B-1,SA-CP941b-24,molzym ultra deep microbiome,0.958087887,0.073304973,0.215312203,66.67,0.75,PBS_Cortisone acetate,,25,lung tissue,2,2,54527,29593,62,62,62,62,56,52,2
18100FL-24-06-22,119,abV4-C,EXT-CP941b-23-B,LIB-CP941b-23-B-1,SA-CP941b-23,molzym ultra deep microbiome,0.795585348,0.073304973,0.281658405,66.67,0.73,PBS_Cortisone acetate,less volume,24,lung tissue,2,2,37914,25997,122,122,122,122,119,113,5
18100FL-24-06-21,118,abV4-C,EXT-CP941b-22-B,LIB-CP941b-22-B-1,SA-CP941b-22,molzym ultra deep microbiome,0.460423861,0.070901531,0.062590757,66.67,0.75,PBS_Cortisone acetate,,23,lung tissue,2,2,35210,9878,60,60,60,60,60,59,4
18100FL-24-06-20,117,abV4-C,EXT-CP941b-21-B,LIB-CP941b-21-B-1,SA-CP941b-21,molzym ultra deep microbiome,0.39045749,0.066094648,0.071353463,66.67,0.75,PBS_Cortisone acetate,,22,lung tissue,2,2,31688,13406,47,47,47,47,47,46,2
18100FL-24-06-19,116,abV4-C,EXT-CP941b-20-B,LIB-CP941b-20-B-1,SA-CP941b-20,molzym ultra deep microbiome,1.520075835,0.099742832,0.252866657,66.67,0.75,PBS_Cortisone acetate,,21,lung tissue,2,2,44509,23289,83,83,83,83,83,81,3
18100FL-24-06-18,115,abV4-C,EXT-CP941b-19-B,LIB-CP941b-19-B-1,SA-CP941b-19,molzym ultra deep microbiome,1.157830591,0.078111856,0.121426068,66.67,0.75,PBS_Cortisone acetate,,20,lung tissue,2,2,39462,25348,89,89,89,89,89,82,5
18100FL-24-07-01,114,abV4-C,EXT-CP941b-18-B,LIB-CP941b-18-B-1,SA-CP941b-18,molzym ultra deep microbiome,0.810255716,0.162232317,2.757748736,66.67,0.75,PBS_Cortisone acetate,,19,lung tissue,2,2,41129,30932,131,129,128,128,125,101,11
18100FL-24-06-17,113,abV4-C,EXT-CP941b-17-B,LIB-CP941b-17-B-1,SA-CP941b-17,molzym ultra deep microbiome,0.251653238,0.068498089,0.618396675,66.67,0.75,PBS_Cortisone acetate,,18,lung tissue,2,2,68406,55413,200,200,200,200,191,180,12
18100FL-24-06-16,112,abV4-C,EXT-CP941b-16-B,LIB-CP941b-16-B-1,SA-CP941b-16,molzym ultra deep microbiome,0.135418783,0.062489485,0.605878524,66.67,0.75,PBS_Cortisone acetate,,16,lung tissue,2,2,76043,61345,170,170,170,170,162,153,9
18100FL-24-06-15,111,abV4-C,EXT-CP941b-15-B,LIB-CP941b-15-B-1,SA-CP941b-15,molzym ultra deep microbiome,0.327262058,0.043261951,0.098893395,66.67,0.75,PBS,,15,lung tissue,1,1,36637,25029,94,94,94,94,89,88,6
